gene,weight
ZPBP,0.0006935718006449304
TG,-0.003954164972007875
ADAM28,-0.00016890139523053062
BARX2,0.009972098973090772
DCUN1D1,0.05340590177150739
JADE2,0.01406169619411013
ZIC2,-0.0022251241478652376
LCP2,0.016249730493434367
TRIT1,0.34072076980291194
ADRB1,-3.9276337156662027e-05
GUCA2B,-9.231996067682496e-06
CUL7,0.049135322916894375
CTNNA1,0.7706160086733354
PHKA2,0.01239404330266386
CNTLN,-0.0009334906927323944
EPHA3,-5.11378975870724e-07
HSPA5,0.4372230690831891
DSG2,-0.0018771970382273732
GEMIN8,0.10104048971446902
OFD1,-0.13414890689190645
GPM6B,2.57765600013282e-05
MAGEC2,6.870740559711108e-06
PREX2,9.487947801382215e-06
WDR37,-0.3762212601988453
YTHDC2,-0.018845314164215088
CTPS2,-0.0342955225779675
ATP6V1H,-0.4449950569022122
POLR2B,0.09911721212160951
ATOSA,-0.8668075456555552
ARAP2,0.27892560594713556
TPR,-0.3115772455414343
CP,3.341947944069365e-06
KATNIP,-0.06932222093133758
DTNBP1,-0.10002077520837316
XK,0.001242678464489684
ANO2,-3.335012937374277e-05
C12orf4,0.09319041731620131
SCML1,-0.00039427891130693407
WWC3,0.09726698544929602
ARHGAP6,5.004753743411505e-07
MAP4,-0.05920835861538154
GOPC,0.12474502525834397
ROS1,-1.1575176514132707e-05
USP28,-0.39185359935762143
HDAC9,0.019828187295882288
TSPAN17,0.19206391124040784
NOP16,1.8990942014105618
CC2D2A,-0.00014792297139269028
RRM2B,-0.00765397536170459
ZNF800,0.08336571454506192
TNFRSF17,-0.0001518454152115029
SNX29,-0.13643872102817986
LMO3,1.780242552477239e-05
GUCA1A,3.466952012661602e-05
RSF1,0.010288215844240223
VPS13D,-0.0952565860774619
CELF2,-0.30923333363168126
FAM120A,0.1203729044673909
R3HDM1,0.11853873354777034
COL9A2,-0.0052228755790445745
KITLG,0.005454835891898662
ERCC8,0.16194491237344238
ADAMTS6,-0.015272663027751064
H6PD,-0.01155278878205468
VAMP3,-0.20176508891920908
PER3,0.0074692407967285115
UTS2,0.06622956173720906
TNFRSF9,2.7745857134317036
EPN3,3.5860688662970046e-05
LTBP1,-0.0011242563860751438
RCN1,0.7550680861955409
ELN,7.521477110007294e-05
RFC2,0.02064035951260057
ARID1B,-0.007399484047604765
CLPTM1L,0.4893281983232147
NEDD4L,-0.19116878483678787
FOXP3,0.09897060789587969
PPP1R3F,-0.08966765382193204
HEXB,-0.12210010254995451
PTCD2,0.13585452083671098
NEXMIF,-0.0004572202643747421
JKAMP,-0.015160045630420727
DKK3,1.7754278248909925e-05
ARHGEF5,-0.011126481806779873
NFE2L3,0.8782579051250567
MCUR1,0.40228779298437034
LIMA1,0.5757014702610505
LETMD1,-0.11240904090590215
SLC4A8,-0.10711514073725188
LAMC3,-0.0006011968768686314
PTGER3,-0.0490764102963166
TNIP3,1.1533428992727215
MAPK9,-0.0814642269115673
COL23A1,-0.0021699664293612815
BCAR1,0.006007512492123027
FHIP1B,-0.048101891644151296
HERPUD1,0.014493445428582663
HOMER3,0.005225518517433865
RAD51,-0.23887339269139207
POLQ,-0.12269529062024737
PIK3CB,-0.020233661901087885
CYBA,-0.9133131937452399
HEBP2,-0.6489534791662833
MPHOSPH9,-0.32073284214590214
PLEKHA5,-0.048892566627642985
PRSS8,-0.0001577758074987447
SIKE1,0.21112659847556492
RRP12,1.0360080266937752
FNIP2,-0.07354996676520403
MSMO1,0.22528058881633062
TTC17,0.2151245224660676
ALX4,4.3851936009459296e-05
FSTL4,-0.00013181182953110295
FOXN3,0.17648875579492507
METTL24,5.610360653885027e-07
AKR7A2,-0.16365300638582142
MRTO4,0.9806547726771249
NNAT,7.304984279729284e-05
USE1,0.056599253669918054
MCF2L2,-0.01468454256213135
LAMA3,-0.0003333108064763663
AP5M1,-0.09212401991207142
ANAPC4,-0.08394021975714572
