gene,my_score,author_coef,coef_sem,coef_rank,known_regulators,known,highlight
ACAD9,0.37151787,0.0141965207650857,0.0008875553276164,0.1046867040244523,False,other,
ACADS,0.117021695,-0.0094306848227553,0.0007325594649103,0.7460519612837494,False,other,
ACLY,-0.011199638,0.0068859363258106,0.0012297722444468,0.2485990830361691,False,other,
ACO2,-0.5233206,-0.030256320861093,0.0008153624688093,0.9811512990320936,False,other,
ACOT7,-0.17089602,-0.005343770499426,0.000865223712244,0.6278655119714722,False,other,
ACSL1,-0.07089077,0.0043010465850574,0.000828855274038,0.3224656138563423,False,other,
ACSL3,0.05621351,-0.0069839591215282,0.000961948744639,0.6765155374426898,False,other,
ACSL6,-0.008892796,0.013406468550064,0.0004298147900983,0.1171676006113092,False,other,
ACSM3,0.026095627,0.0196316266941526,0.0009167363418788,0.0435557819663779,False,other,
ACSS1,-0.20440373,-0.0013925058400048,0.0007124329006326,0.5045848191543556,False,other,
ACSS2,-0.6011696,0.0078709468363547,0.0007217614970139,0.2244014263881813,False,other,
