gene,score,guide_signif,guide_all,n_downstream,n_cells_target,n_guides,single_guide,ontarget_signif,distal_offtarget,neighboring_KD,qc_pass,status,hub_flag,k562_concordance,specificity_flag,axis,condition,specificity_call,is_clean,clean_strict
LXN,0.10401186,0.7922259354613891,0.1047505076490567,3.0,923.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SEC24A,0.10402465,,,2.0,225.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
SLC66A1,0.10413104,1.0,0.1369980148078413,1.0,663.0,2.0,False,True,False,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
LGALS12,0.10413534,-0.2454369576730259,0.0166839986710439,2.0,408.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ABI2,0.10415656,,0.1028227188416285,0.0,262.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
CEP170B,0.10416781,,0.0062572096991152,1.0,331.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ACCS,0.10420288,,0.0885887674363741,0.0,582.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
KCNA2,0.10420893,-0.1186472662895908,0.1445723432389382,32.0,802.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
ZNF536,0.104218915,-0.879851264803996,0.0292924393337072,0.0,418.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
CAD,0.10426109,,,609.0,90.0,2.0,False,True,False,True,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TMTC4,0.10426646,,-0.0424021529305413,0.0,1185.0,2.0,False,True,False,False,False,novel,,0.3053,,activation,Stim8hr,T-cell-specific(measured),True,True
RBAK,0.10429208,0.4973913984971455,0.1273452523768715,5.0,924.0,2.0,False,True,False,False,False,novel,,0.2139,,activation,Stim8hr,T-cell-specific(measured),True,True
RILPL1,0.10429752,,,0.0,409.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
TRNAU1AP,0.10432846,,,3.0,64.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
VPREB3,0.10439056,,-0.0082171438994342,0.0,821.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
RPL39L,0.10453114,,,1.0,339.0,1.0,True,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
C19orf33,0.1045592,,0.0582352147117623,0.0,642.0,2.0,False,False,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
AGTRAP,0.104584746,,-0.0004576628854626,0.0,429.0,2.0,False,True,False,False,False,novel,,,,activation,Stim8hr,no-K562-data,True,False
